genes,gene_short_name,GC_content,Gene_type,Transcript_name
NAT10,NAT10,45.79,protein_coding,NAT10-201
NAT9,NAT9,54.12,protein_coding,NAT9-201
NATD1,NATD1,58.51,protein_coding,NATD1-201
NAV1,NAV1,47.44,protein_coding,NAV1-203
NAV2,NAV2,44.51,protein_coding,NAV2-202
NAV3,NAV3,35.89,protein_coding,NAV3-208
NAXE,NAXE,56.38,protein_coding,NAXE-202
NBAS,NBAS,38.12,protein_coding,NBAS-201
NBDY,NBDY,45.07,protein_coding,NBDY-204
NBEAL1,NBEAL1,37.7,protein_coding,NBEAL1-210
NBN,NBN,37.15,protein_coding,NBN-201
NBPF10,NBPF10,41.59,protein_coding,NBPF10-201
NBPF11,NBPF11,45.41,protein_coding,NBPF11-203
NBPF12,NBPF12,43.89,protein_coding,NBPF12-208
NBPF15,NBPF15,42.75,protein_coding,NBPF15-202
NBPF20,NBPF20,44.12,protein_coding,NBPF20-201
NBPF26,NBPF26,40.7,protein_coding,NBPF26-211
NBPF3,NBPF3,43.05,protein_coding,NBPF3-205
NBR1,NBR1,44.16,protein_coding,NBR1-201
NCALD,NCALD,40.58,protein_coding,NCALD-201
NCAPD2,NCAPD2,46.34,protein_coding,NCAPD2-210
NCAPD3,NCAPD3,43.33,protein_coding,NCAPD3-205
NCAPG2,NCAPG2,41.8,protein_coding,NCAPG2-204
NCAPH2,NCAPH2,55.48,protein_coding,NCAPH2-205
NCBP1,NCBP1,37.74,protein_coding,NCBP1-202
NCBP2,NCBP2,44.02,protein_coding,NCBP2-210
NCBP3,NCBP3,44.57,protein_coding,NCBP3-202
NCCRP1,NCCRP1,56.8,protein_coding,NCCRP1-201
NCDN,NCDN,57.71,protein_coding,NCDN-203
NCEH1,NCEH1,41.72,protein_coding,NCEH1-204
NCF1,NCF1,54.16,protein_coding,NCF1-201
NCK1,NCK1,39.32,protein_coding,NCK1-201
NCKAP1,NCKAP1,35.82,protein_coding,NCKAP1-202
NCKAP1L,NCKAP1L,42.59,protein_coding,NCKAP1L-201
NCKAP5L,NCKAP5L,52.89,protein_coding,NCKAP5L-202
NCL,NCL,47.89,protein_coding,NCL-201
NCMAP,NCMAP,47.93,protein_coding,NCMAP-201
NCOA1,NCOA1,37.1,protein_coding,NCOA1-211
NCOA2,NCOA2,38.24,protein_coding,NCOA2-201
NCOA3,NCOA3,41.15,protein_coding,NCOA3-203
NCOA4,NCOA4,41.24,protein_coding,NCOA4-207
NCOA6,NCOA6,43.48,protein_coding,NCOA6-208
NCOA7,NCOA7,39.05,protein_coding,NCOA7-202
NCOR1,NCOR1,39.72,protein_coding,NCOR1-201
NCOR2,NCOR2,57.37,protein_coding,NCOR2-204
NCSTN,NCSTN,46.8,protein_coding,NCSTN-201
NDC1,NDC1,40.2,protein_coding,NDC1-201
NDC80,NDC80,36.33,protein_coding,NDC80-201
NDE1,NDE1,48.54,protein_coding,NDE1-216
NDEL1,NDEL1,44.62,protein_coding,NDEL1-215
NDFIP1,NDFIP1,39.13,protein_coding,NDFIP1-201
NDFIP2,NDFIP2,35.47,protein_coding,NDFIP2-201
NDRG1,NDRG1,50.32,protein_coding,NDRG1-201
NDRG2,NDRG2,48,protein_coding,NDRG2-202
NDRG3,NDRG3,44.5,protein_coding,NDRG3-204
NDST1,NDST1,52.04,protein_coding,NDST1-206
NDUFA1,NDUFA1,42.08,protein_coding,NDUFA1-201
NDUFA10,NDUFA10,48.42,protein_coding,NDUFA10-206
NDUFA11,NDUFA11,59.05,protein_coding,NDUFA11-202
NDUFA12,NDUFA12,43.14,protein_coding,NDUFA12-209
NDUFA13,NDUFA13,53.15,protein_coding,NDUFA13-202
NDUFA2,NDUFA2,50.9,protein_coding,NDUFA2-203
NDUFA3,NDUFA3,55.15,protein_coding,NDUFA3-215
NDUFA4,NDUFA4,37.54,protein_coding,NDUFA4-201
NDUFA5,NDUFA5,35.56,protein_coding,NDUFA5-207
NDUFA6,NDUFA6,48.79,protein_coding,NDUFA6-204
NDUFA7,NDUFA7,52.34,protein_coding,NDUFA7-202
NDUFA8,NDUFA8,41.44,protein_coding,NDUFA8-201
NDUFA9,NDUFA9,39.57,protein_coding,NDUFA9-205
NDUFAB1,NDUFAB1,48.72,protein_coding,NDUFAB1-201
NDUFAF1,NDUFAF1,46.09,protein_coding,NDUFAF1-201
NDUFAF3,NDUFAF3,64.14,protein_coding,NDUFAF3-201
NDUFAF4,NDUFAF4,38.15,protein_coding,NDUFAF4-201
NDUFAF5,NDUFAF5,39.86,protein_coding,NDUFAF5-202
NDUFAF6,NDUFAF6,42.88,protein_coding,NDUFAF6-218
NDUFAF7,NDUFAF7,38.97,protein_coding,NDUFAF7-209
NDUFB1,NDUFB1,44.2,protein_coding,NDUFB1-202
NDUFB10,NDUFB10,58.74,protein_coding,NDUFB10-201
NDUFB11,NDUFB11,52.3,protein_coding,NDUFB11-202
NDUFB2,NDUFB2,43.57,protein_coding,NDUFB2-215
NDUFB3,NDUFB3,41.49,protein_coding,NDUFB3-203
NDUFB4,NDUFB4,39.34,protein_coding,NDUFB4-201
NDUFB5,NDUFB5,39.72,protein_coding,NDUFB5-211
NDUFB6,NDUFB6,41.42,protein_coding,NDUFB6-203
NDUFB7,NDUFB7,57.47,protein_coding,NDUFB7-202
NDUFB8,NDUFB8,47.71,protein_coding,NDUFB8-204
NDUFB9,NDUFB9,45.43,protein_coding,NDUFB9-208
NDUFC1,NDUFC1,42.39,protein_coding,NDUFC1-205
NDUFC2,NDUFC2,44.35,protein_coding,NDUFC2-201
NDUFC2-KCTD14,NDUFC2-KCTD14,47.83,protein_coding,NDUFC2-KCTD14-201
NDUFS1,NDUFS1,40.76,protein_coding,NDUFS1-201
NDUFS2,NDUFS2,49.73,protein_coding,NDUFS2-209
NDUFS3,NDUFS3,48.67,protein_coding,NDUFS3-211
NDUFS4,NDUFS4,36.57,protein_coding,NDUFS4-205
NDUFS5,NDUFS5,46.54,protein_coding,NDUFS5-202
NDUFS6,NDUFS6,48.37,protein_coding,NDUFS6-201
NDUFS7,NDUFS7,59.57,protein_coding,NDUFS7-216
NDUFS8,NDUFS8,57.63,protein_coding,NDUFS8-202
NDUFV1,NDUFV1,56.2,protein_coding,NDUFV1-229
NDUFV2,NDUFV2,37.35,protein_coding,NDUFV2-208
NDUFV3,NDUFV3,46.83,protein_coding,NDUFV3-203
NEB,NEB,38.81,protein_coding,NEB-204
NEBL,NEBL,39.04,protein_coding,NEBL-202
NECAP1,NECAP1,41.12,protein_coding,NECAP1-221
NECAP2,NECAP2,49.37,protein_coding,NECAP2-201
NECTIN2,NECTIN2,52.84,protein_coding,NECTIN2-202
NECTIN4,NECTIN4,52.52,protein_coding,NECTIN4-201
NEDD1,NEDD1,35.02,protein_coding,NEDD1-201
NEDD4,NEDD4,38.51,protein_coding,NEDD4-209
NEDD4L,NEDD4L,43.38,protein_coding,NEDD4L-205
NEDD8,NEDD8,43.5,protein_coding,NEDD8-201
NEDD9,NEDD9,43.09,protein_coding,NEDD9-202
NEGR1,NEGR1,34.94,protein_coding,NEGR1-202
NEIL1,NEIL1,58.78,protein_coding,NEIL1-204
NEIL2,NEIL2,48.94,protein_coding,NEIL2-203
NEK1,NEK1,37.07,protein_coding,NEK1-209
NEK2,NEK2,39.5,protein_coding,NEK2-202
NEK4,NEK4,42.79,protein_coding,NEK4-201
NEK5,NEK5,41.01,protein_coding,NEK5-203
NEK7,NEK7,35.84,protein_coding,NEK7-202
NEK8,NEK8,53.77,protein_coding,NEK8-204
NEK9,NEK9,42.1,protein_coding,NEK9-201
NELFA,NELFA,48.3,protein_coding,NELFA-202
NELFCD,NELFCD,48.57,protein_coding,NELFCD-203
NELFE,NELFE,49.6,protein_coding,NELFE-267
NEMF,NEMF,40.31,protein_coding,NEMF-201
NENF,NENF,47.62,protein_coding,NENF-201
NEO1,NEO1,38.73,protein_coding,NEO1-202
NEPRO,NEPRO,39.06,protein_coding,NEPRO-201
NET1,NET1,37,protein_coding,NET1-201
NETO2,NETO2,38.67,protein_coding,NETO2-202
NEU1,NEU1,52.86,protein_coding,NEU1-233
NEU3,NEU3,43.57,protein_coding,NEU3-201
NEUROD2,NEUROD2,60.3,protein_coding,NEUROD2-202
NEXN,NEXN,39.06,protein_coding,NEXN-204
NF1,NF1,37.62,protein_coding,NF1-211
NF2,NF2,45.79,protein_coding,NF2-213
NFAM1,NFAM1,54.9,protein_coding,NFAM1-201
NFASC,NFASC,47.92,protein_coding,NFASC-202
NFAT5,NFAT5,38.64,protein_coding,NFAT5-204
NFATC2IP,NFATC2IP,49.47,protein_coding,NFATC2IP-203
NFATC3,NFATC3,41.53,protein_coding,NFATC3-208
NFE2L1,NFE2L1,54.26,protein_coding,NFE2L1-209
NFE2L2,NFE2L2,40.63,protein_coding,NFE2L2-209
NFIA,NFIA,40.05,protein_coding,NFIA-206
NFIB,NFIB,38.29,protein_coding,NFIB-205
NFIC,NFIC,55.09,protein_coding,NFIC-211
NFKB1,NFKB1,37.86,protein_coding,NFKB1-202
NFKB2,NFKB2,61.37,protein_coding,NFKB2-208
NFKBIA,NFKBIA,56.53,protein_coding,NFKBIA-201
NFKBIB,NFKBIB,50.76,protein_coding,NFKBIB-206
NFKBID,NFKBID,53.38,protein_coding,NFKBID-208
NFKBIZ,NFKBIZ,40.23,protein_coding,NFKBIZ-204
NFRKB,NFRKB,45.4,protein_coding,NFRKB-201
NFS1,NFS1,46.44,protein_coding,NFS1-203
NFU1,NFU1,41.47,protein_coding,NFU1-203
NFX1,NFX1,42.57,protein_coding,NFX1-203
NFYA,NFYA,40,protein_coding,NFYA-201
NFYB,NFYB,39.11,protein_coding,NFYB-201
NFYC,NFYC,42.65,protein_coding,NFYC-216
NGDN,NGDN,42.99,protein_coding,NGDN-202
NGLY1,NGLY1,37.55,protein_coding,NGLY1-213
NGRN,NGRN,45.25,protein_coding,NGRN-201
NHLRC2,NHLRC2,35.52,protein_coding,NHLRC2-201
NHLRC3,NHLRC3,37.72,protein_coding,NHLRC3-204
NHP2,NHP2,52.15,protein_coding,NHP2-201
NHSL1,NHSL1,40.97,protein_coding,NHSL1-204
NIBAN1,NIBAN1,40.12,protein_coding,NIBAN1-202
NIBAN3,NIBAN3,52.51,protein_coding,NIBAN3-205
NICN1,NICN1,52.25,protein_coding,NICN1-201
NIF3L1,NIF3L1,41.02,protein_coding,NIF3L1-207
NIFK,NIFK,42.98,protein_coding,NIFK-201
NIM1K,NIM1K,42.72,protein_coding,NIM1K-203
NIN,NIN,41.15,protein_coding,NIN-210
NINJ1,NINJ1,59.63,protein_coding,NINJ1-201
NIP7,NIP7,47.96,protein_coding,NIP7-205
NIPA2,NIPA2,43.73,protein_coding,NIPA2-201
NIPAL1,NIPAL1,38.83,protein_coding,NIPAL1-206
NIPAL2,NIPAL2,39.03,protein_coding,NIPAL2-202
NIPAL3,NIPAL3,44.99,protein_coding,NIPAL3-204
NIPBL,NIPBL,35.04,protein_coding,NIPBL-201
NIPSNAP1,NIPSNAP1,50.22,protein_coding,NIPSNAP1-201
NIPSNAP2,NIPSNAP2,45.28,protein_coding,NIPSNAP2-204
NISCH,NISCH,53.28,protein_coding,NISCH-207
NIT1,NIT1,49.13,protein_coding,NIT1-215
NIT2,NIT2,42.95,protein_coding,NIT2-201
NKAP,NKAP,41.81,protein_coding,NKAP-201
NKAPD1,NKAPD1,40.81,protein_coding,NKAPD1-203
NKD1,NKD1,51.66,protein_coding,NKD1-201
NKIRAS1,NKIRAS1,42.91,protein_coding,NKIRAS1-201
NKIRAS2,NKIRAS2,49.4,protein_coding,NKIRAS2-212
NKTR,NKTR,37.52,protein_coding,NKTR-201
NKX3-1,NKX3-1,49.36,protein_coding,NKX3-1-201
NLE1,NLE1,52.09,protein_coding,NLE1-203
NLK,NLK,37.3,protein_coding,NLK-204
NLN,NLN,40.37,protein_coding,NLN-201
NLRC3,NLRC3,51.01,protein_coding,NLRC3-202
NLRC5,NLRC5,49.44,protein_coding,NLRC5-218
NLRP1,NLRP1,46.74,protein_coding,NLRP1-203
NLRP11,NLRP11,42.56,protein_coding,NLRP11-202
NLRP12,NLRP12,49.43,protein_coding,NLRP12-201
NLRP2,NLRP2,48.88,protein_coding,NLRP2-249
NMD3,NMD3,37.99,protein_coding,NMD3-205
NME1,NME1,46.45,protein_coding,NME1-203
NME2,NME2,52.1,protein_coding,NME2-207
NME3,NME3,69.2,protein_coding,NME3-201
NME4,NME4,58.71,protein_coding,NME4-203
NME6,NME6,47.25,protein_coding,NME6-213
NME7,NME7,36.61,protein_coding,NME7-214
NMI,NMI,39.88,protein_coding,NMI-201
NMNAT1,NMNAT1,46.13,protein_coding,NMNAT1-202
NMNAT2,NMNAT2,44.39,protein_coding,NMNAT2-202
NMNAT3,NMNAT3,41.66,protein_coding,NMNAT3-205
NMRAL1,NMRAL1,49.3,protein_coding,NMRAL1-220
NMRK1,NMRK1,40.5,protein_coding,NMRK1-203
NMT1,NMT1,48.75,protein_coding,NMT1-213
NMT2,NMT2,43.09,protein_coding,NMT2-203
NNT,NNT,37.88,protein_coding,NNT-205
NOA1,NOA1,45.02,protein_coding,NOA1-201
NOC2L,NOC2L,59.54,protein_coding,NOC2L-204
NOC3L,NOC3L,37.01,protein_coding,NOC3L-201
NOCT,NOCT,44.82,protein_coding,NOCT-201
NOD2,NOD2,48.07,protein_coding,NOD2-213
NOL10,NOL10,40.73,protein_coding,NOL10-201
NOL11,NOL11,40.47,protein_coding,NOL11-201
NOL12,NOL12,54.42,protein_coding,NOL12-206
NOL3,NOL3,58.13,protein_coding,NOL3-207
NOL4L,NOL4L,54.39,protein_coding,NOL4L-203
NOL6,NOL6,54.39,protein_coding,NOL6-202
NOL7,NOL7,38.68,protein_coding,NOL7-202
NOL8,NOL8,38.87,protein_coding,NOL8-208
NOL9,NOL9,47.77,protein_coding,NOL9-201
NOLC1,NOLC1,47.22,protein_coding,NOLC1-209
NOM1,NOM1,47.03,protein_coding,NOM1-201
NOMO1,NOMO1,45.54,protein_coding,NOMO1-201
NOMO2,NOMO2,46.04,protein_coding,NOMO2-201
NOMO3,NOMO3,45.52,protein_coding,NOMO3-218
NONO,NONO,44.11,protein_coding,NONO-201
NOP10,NOP10,49.56,protein_coding,NOP10-201
NOP14,NOP14,50.02,protein_coding,NOP14-205
NOP16,NOP16,49.33,protein_coding,NOP16-211
NOP2,NOP2,49.45,protein_coding,NOP2-207
NOP53,NOP53,57.2,protein_coding,NOP53-201
NOP56,NOP56,52.9,protein_coding,NOP56-201
NOP58,NOP58,41.15,protein_coding,NOP58-201
NOS1,NOS1,47.35,protein_coding,NOS1-201
NOS3,NOS3,57.59,protein_coding,NOS3-201
NOSIP,NOSIP,50.81,protein_coding,NOSIP-214
NOSTRIN,NOSTRIN,41.13,protein_coding,NOSTRIN-209
NOTCH2,NOTCH2,40,protein_coding,NOTCH2-201
NOTCH3,NOTCH3,54.88,protein_coding,NOTCH3-201
NOTCH4,NOTCH4,51.81,protein_coding,NOTCH4-205
NOTO,NOTO,50.25,protein_coding,NOTO-201
NOVA1,NOVA1,33.12,protein_coding,NOVA1-205
NOX4,NOX4,35.47,protein_coding,NOX4-202
NOX5,NOX5,42.71,protein_coding,NOX5-203
NPAP1,NPAP1,47.75,protein_coding,NPAP1-201
NPAS2,NPAS2,45.84,protein_coding,NPAS2-201
NPAT,NPAT,40.27,protein_coding,NPAT-201
NPC1,NPC1,44.65,protein_coding,NPC1-212
NPC2,NPC2,43.65,protein_coding,NPC2-202
NPDC1,NPDC1,65.82,protein_coding,NPDC1-201
NPEPPS,NPEPPS,41.25,protein_coding,NPEPPS-202
NPFFR1,NPFFR1,46.94,protein_coding,NPFFR1-201
NPHP1,NPHP1,39.53,protein_coding,NPHP1-201
NPHP3,NPHP3,36.75,protein_coding,NPHP3-206
NPHS1,NPHS1,53.1,protein_coding,NPHS1-202
NPIPA8,NPIPA8,47.51,protein_coding,NPIPA8-201
NPIPB13,NPIPB13,46.11,protein_coding,NPIPB13-201
NPIPB15,NPIPB15,45.68,protein_coding,NPIPB15-201
NPIPB3,NPIPB3,45.45,protein_coding,NPIPB3-203
NPIPB4,NPIPB4,45.38,protein_coding,NPIPB4-201
NPIPB5,NPIPB5,43.89,protein_coding,NPIPB5-203
NPL,NPL,41.95,protein_coding,NPL-211
NPLOC4,NPLOC4,50.06,protein_coding,NPLOC4-201
NPM1,NPM1,43.6,protein_coding,NPM1-204
NPRL3,NPRL3,51.3,protein_coding,NPRL3-210
NPTN,NPTN,41.2,protein_coding,NPTN-201
NPTXR,NPTXR,55.46,protein_coding,NPTXR-201
NQO1,NQO1,46.9,protein_coding,NQO1-205
NQO2,NQO2,47.18,protein_coding,NQO2-208
NR1D2,NR1D2,40.67,protein_coding,NR1D2-201
NR1H2,NR1H2,51.29,protein_coding,NR1H2-212
NR1I3,NR1I3,48.84,protein_coding,NR1I3-232
NR2C1,NR2C1,39.52,protein_coding,NR2C1-202
NR2C2,NR2C2,42.09,protein_coding,NR2C2-204
NR2F2,NR2F2,48.74,protein_coding,NR2F2-203
NR2F6,NR2F6,58.96,protein_coding,NR2F6-201
NR4A1,NR4A1,56.01,protein_coding,NR4A1-211
NR4A2,NR4A2,45.15,protein_coding,NR4A2-201
NR5A2,NR5A2,40.7,protein_coding,NR5A2-203
NR6A1,NR6A1,40.7,protein_coding,NR6A1-205
NRAS,NRAS,38.66,protein_coding,NRAS-201
NRBF2,NRBF2,42.23,protein_coding,NRBF2-201
NRBP1,NRBP1,48.61,protein_coding,NRBP1-201
NRDC,NRDC,39.35,protein_coding,NRDC-203
NRDE2,NRDE2,44.1,protein_coding,NRDE2-201
NREP,NREP,38.48,protein_coding,NREP-205
NRF1,NRF1,41.14,protein_coding,NRF1-203
NRG4,NRG4,38.21,protein_coding,NRG4-212
NRIP1,NRIP1,36.59,protein_coding,NRIP1-202
NRIP3,NRIP3,42.95,protein_coding,NRIP3-201
NRP1,NRP1,41.34,protein_coding,NRP1-201
NRXN3,NRXN3,39.46,protein_coding,NRXN3-217
NSA2,NSA2,37.93,protein_coding,NSA2-205
NSD1,NSD1,42.34,protein_coding,NSD1-212
NSD2,NSD2,47.15,protein_coding,NSD2-219
NSD3,NSD3,38.79,protein_coding,NSD3-202
NSDHL,NSDHL,45.97,protein_coding,NSDHL-201
NSF,NSF,38.59,protein_coding,NSF-209
NSFL1C,NSFL1C,45.86,protein_coding,NSFL1C-204
NSG1,NSG1,50.8,protein_coding,NSG1-202
NSL1,NSL1,39.75,protein_coding,NSL1-203
NSMCE1,NSMCE1,47.27,protein_coding,NSMCE1-201
NSMCE2,NSMCE2,39.89,protein_coding,NSMCE2-212
NSMCE3,NSMCE3,41.77,protein_coding,NSMCE3-201
NSMCE4A,NSMCE4A,43.85,protein_coding,NSMCE4A-202
NSRP1,NSRP1,38.57,protein_coding,NSRP1-206
NSUN2,NSUN2,43.29,protein_coding,NSUN2-201
NSUN3,NSUN3,38.03,protein_coding,NSUN3-205
NSUN4,NSUN4,47.35,protein_coding,NSUN4-204
NSUN5,NSUN5,53.79,protein_coding,NSUN5-203
NSUN6,NSUN6,40.26,protein_coding,NSUN6-201
NT5C2,NT5C2,40.09,protein_coding,NT5C2-203
NT5C3A,NT5C3A,37.98,protein_coding,NT5C3A-212
NT5C3B,NT5C3B,48.91,protein_coding,NT5C3B-213
NT5DC1,NT5DC1,36.29,protein_coding,NT5DC1-201
NT5DC3,NT5DC3,43.11,protein_coding,NT5DC3-203
NTAN1,NTAN1,47.58,protein_coding,NTAN1-215
NTMT1,NTMT1,55.42,protein_coding,NTMT1-211
NTNG1,NTNG1,37.35,protein_coding,NTNG1-208
NTPCR,NTPCR,42.72,protein_coding,NTPCR-207
NTRK3,NTRK3,45.3,protein_coding,NTRK3-205
NUAK2,NUAK2,51.28,protein_coding,NUAK2-201
NUB1,NUB1,44.96,protein_coding,NUB1-201
NUBP1,NUBP1,50.62,protein_coding,NUBP1-207
NUBP2,NUBP2,62.16,protein_coding,NUBP2-201
NUBPL,NUBPL,38.49,protein_coding,NUBPL-206
NUCB1,NUCB1,52.75,protein_coding,NUCB1-201
NUCB2,NUCB2,41.44,protein_coding,NUCB2-207
NUCKS1,NUCKS1,39.53,protein_coding,NUCKS1-201
NUDC,NUDC,48.43,protein_coding,NUDC-202
NUDCD1,NUDCD1,36.54,protein_coding,NUDCD1-201
NUDCD2,NUDCD2,37.57,protein_coding,NUDCD2-201
NUDCD3,NUDCD3,44.47,protein_coding,NUDCD3-202
NUDT1,NUDT1,56.77,protein_coding,NUDT1-203
NUDT14,NUDT14,64.58,protein_coding,NUDT14-205
NUDT15,NUDT15,41.13,protein_coding,NUDT15-201
NUDT16L1,NUDT16L1,65.05,protein_coding,NUDT16L1-201
NUDT19,NUDT19,46.13,protein_coding,NUDT19-201
NUDT21,NUDT21,39.54,protein_coding,NUDT21-201
NUDT22,NUDT22,59.06,protein_coding,NUDT22-209
NUDT5,NUDT5,44.24,protein_coding,NUDT5-207
NUDT6,NUDT6,37.44,protein_coding,NUDT6-208
NUDT9,NUDT9,38.94,protein_coding,NUDT9-201
NUFIP2,NUFIP2,41.64,protein_coding,NUFIP2-201
NUGGC,NUGGC,45.08,protein_coding,NUGGC-201
NUMA1,NUMA1,46.62,protein_coding,NUMA1-217
NUMB,NUMB,40.48,protein_coding,NUMB-211
NUMBL,NUMBL,52.55,protein_coding,NUMBL-201
NUP107,NUP107,39.25,protein_coding,NUP107-201
NUP133,NUP133,40.26,protein_coding,NUP133-201
NUP153,NUP153,40.18,protein_coding,NUP153-201
NUP155,NUP155,41.74,protein_coding,NUP155-201
NUP160,NUP160,41.86,protein_coding,NUP160-201
NUP188,NUP188,46.07,protein_coding,NUP188-201
NUP205,NUP205,38.99,protein_coding,NUP205-201
NUP210,NUP210,52.6,protein_coding,NUP210-201
NUP214,NUP214,42.09,protein_coding,NUP214-202
NUP35,NUP35,38.01,protein_coding,NUP35-204
NUP37,NUP37,36.52,protein_coding,NUP37-209
NUP42,NUP42,40.51,protein_coding,NUP42-201
NUP43,NUP43,43.95,protein_coding,NUP43-201
NUP50,NUP50,43.51,protein_coding,NUP50-201
NUP54,NUP54,36.75,protein_coding,NUP54-208
NUP58,NUP58,36.35,protein_coding,NUP58-202
NUP62,NUP62,54.29,protein_coding,NUP62-202
NUP85,NUP85,48.14,protein_coding,NUP85-222
NUP88,NUP88,42.59,protein_coding,NUP88-206
NUP93,NUP93,42.43,protein_coding,NUP93-201
NUP98,NUP98,41.69,protein_coding,NUP98-220
NUPR1,NUPR1,50.75,protein_coding,NUPR1-201
NUS1,NUS1,37.38,protein_coding,NUS1-201
NUSAP1,NUSAP1,44.91,protein_coding,NUSAP1-214
NUTF2,NUTF2,51.07,protein_coding,NUTF2-201
NVL,NVL,41.56,protein_coding,NVL-215
NWD1,NWD1,48.08,protein_coding,NWD1-203
NXF1,NXF1,50.07,protein_coding,NXF1-211
NXN,NXN,50.99,protein_coding,NXN-210
NXNL2,NXNL2,47.83,protein_coding,NXNL2-206
NXPE3,NXPE3,39.58,protein_coding,NXPE3-206
NXT1,NXT1,48.53,protein_coding,NXT1-201
NYAP2,NYAP2,38.06,protein_coding,NYAP2-202
OAF,OAF,55.52,protein_coding,OAF-201
OARD1,OARD1,44.19,protein_coding,OARD1-213
OAS1,OAS1,43.34,protein_coding,OAS1-201
OAS3,OAS3,46.87,protein_coding,OAS3-201
OAT,OAT,42.49,protein_coding,OAT-201
OAZ1,OAZ1,64.06,protein_coding,OAZ1-207
OAZ2,OAZ2,47.83,protein_coding,OAZ2-201
OAZ3,OAZ3,48.79,protein_coding,OAZ3-209
OBSL1,OBSL1,58.29,protein_coding,OBSL1-207
OCEL1,OCEL1,58.66,protein_coding,OCEL1-201
OCIAD1,OCIAD1,39.5,protein_coding,OCIAD1-208
OCIAD2,OCIAD2,41.87,protein_coding,OCIAD2-205
OCLN,OCLN,43.02,protein_coding,OCLN-207
ODAPH,ODAPH,42.64,protein_coding,ODAPH-204
ODC1,ODC1,45.53,protein_coding,ODC1-201
ODF2,ODF2,49.1,protein_coding,ODF2-218
ODF2L,ODF2L,34.88,protein_coding,ODF2L-203
ODR4,ODR4,35.17,protein_coding,ODR4-203
OFD1,OFD1,39.8,protein_coding,OFD1-201
OGA,OGA,41.92,protein_coding,OGA-202
OGDH,OGDH,46.23,protein_coding,OGDH-203
OGFOD1,OGFOD1,40.36,protein_coding,OGFOD1-207
OGFOD3,OGFOD3,54.33,protein_coding,OGFOD3-201
OGFRL1,OGFRL1,36.15,protein_coding,OGFRL1-201
OGT,OGT,40.58,protein_coding,OGT-202
OLA1,OLA1,36.47,protein_coding,OLA1-201
OLFML2A,OLFML2A,52.21,protein_coding,OLFML2A-202
OMA1,OMA1,39.98,protein_coding,OMA1-209
ONECUT3,ONECUT3,58.83,protein_coding,ONECUT3-201
OPA1,OPA1,36.98,protein_coding,OPA1-204
OPA3,OPA3,49.78,protein_coding,OPA3-202
OPHN1,OPHN1,39.75,protein_coding,OPHN1-201
OPN3,OPN3,39.62,protein_coding,OPN3-202
OPRD1,OPRD1,50.14,protein_coding,OPRD1-201
OPRM1,OPRM1,38.81,protein_coding,OPRM1-214
OPTN,OPTN,42.4,protein_coding,OPTN-201
OR10A2,OR10A2,37.83,protein_coding,OR10A2-202
OR10G3,OR10G3,42.37,protein_coding,OR10G3-203
OR10H1,OR10H1,47.89,protein_coding,OR10H1-202
OR10H5,OR10H5,48.1,protein_coding,OR10H5-202
OR10J1,OR10J1,40.58,protein_coding,OR10J1-203
OR10K1,OR10K1,38.15,protein_coding,OR10K1-203
OR14J1,OR14J1,37.33,protein_coding,OR14J1-203
OR1A1,OR1A1,41.12,protein_coding,OR1A1-204
OR1D2,OR1D2,40.42,protein_coding,OR1D2-203
OR1I1,OR1I1,47.83,protein_coding,OR1I1-202
OR1M1,OR1M1,46.79,protein_coding,OR1M1-202
OR2A5,OR2A5,39.3,protein_coding,OR2A5-202
OR2AG1,OR2AG1,38.4,protein_coding,OR2AG1-202
OR2AG2,OR2AG2,39.84,protein_coding,OR2AG2-202
OR2AT4,OR2AT4,39.73,protein_coding,OR2AT4-203
OR2B11,OR2B11,45.24,protein_coding,OR2B11-204
OR2F1,OR2F1,37.31,protein_coding,OR2F1-203
OR2G6,OR2G6,38.23,protein_coding,OR2G6-203
OR2L2,OR2L2,35.53,protein_coding,OR2L2-203
OR2M3,OR2M3,35.98,protein_coding,OR2M3-202
OR2M4,OR2M4,37.35,protein_coding,OR2M4-202
OR2T12,OR2T12,36.92,protein_coding,OR2T12-202
OR2V2,OR2V2,49.47,protein_coding,OR2V2-202
OR4D1,OR4D1,42.98,protein_coding,OR4D1-202
OR4D9,OR4D9,42.42,protein_coding,OR4D9-202
OR4F17,OR4F17,34.4,protein_coding,OR4F17-202
OR4K13,OR4K13,38.33,protein_coding,OR4K13-203
OR4K17,OR4K17,36.85,protein_coding,OR4K17-202
OR4K2,OR4K2,33.76,protein_coding,OR4K2-204
OR51M1,OR51M1,38.94,protein_coding,OR51M1-203
OR52A1,OR52A1,37.63,protein_coding,OR52A1-202
OR52E4,OR52E4,37.28,protein_coding,OR52E4-202
OR52I1,OR52I1,42.82,protein_coding,OR52I1-202
OR52K1,OR52K1,39.88,protein_coding,OR52K1-202
OR56A1,OR56A1,38.52,protein_coding,OR56A1-203
OR56A4,OR56A4,40.58,protein_coding,OR56A4-202
OR5A1,OR5A1,39.21,protein_coding,OR5A1-202
OR5A2,OR5A2,39.78,protein_coding,OR5A2-201
OR5AS1,OR5AS1,37.64,protein_coding,OR5AS1-202
OR5AU1,OR5AU1,40.77,protein_coding,OR5AU1-203
OR5H14,OR5H14,36.08,protein_coding,OR5H14-202
OR6C75,OR6C75,35.8,protein_coding,OR6C75-202
